RowNumber,ID,Place,Temperature,Water Discharge,Precipitation,WaterTemperature,Estimation
1954,1,Fraser River,21,4762,850,13.6,1
1955,2,Fraser River,23,3713,852,13.7,0
1956,3,Fraser River,20,3351,864,15,0
1957,4,Fraser River,24,2074,852,15.4,1
1958,5,Fraser River,25,5860,843,17.4,1
1959,6,Fraser River,21,3842,863,14.5,1
1960,7,Fraser River,20,3266,821,14.9,1
1961,8,Fraser River,21,2267,801,16.7,0
1962,9,Fraser River,17,6187,867,14.9,0
1963,10,Fraser River,16,4218,851,16,1
1964,11,Fraser River,19,3705,873,13.6,0
1965,12,Fraser River,20,2611,882,15.5,0
1966,13,Fraser River,17,5903,872,14.7,1
1967,14,Fraser River,15,4189,862,16,0
1968,15,Fraser River,17,3569,874,14.7,0
1969,16,Fraser River,27,2205,872,15.2,1
1970,17,Fraser River,16,5142,903,15.8,1
1971,18,Fraser River,18,3911,943,15.2,0
1972,19,Fraser River,17,3316,943,17.5,0
1973,20,Fraser River,18,2146,932,17.3,1
1974,21,Fraser River,19,5903,943,13.3,1
1975,22,Fraser River,20,4189,923,15.2,0
1976,23,Fraser River,17,3569,954,17.5,0
1977,24,Fraser River,18,2205,932,17.3,1
1978,25,Fraser River,19,5142,932,13.3,1
1979,26,Fraser River,19,391,943,17.5,0
1980,27,Fraser River,17,3316,923,17.3,0
1981,28,Fraser River,16,2146,954,15.8,1
1982,29,Fraser River,18,5903,972,17.5,1
1983,30,Fraser River,19,4189,973,17.3,0
1984,31,Fraser River,21,3669,983,13.3,1
1985,32,Fraser River,20,2205,973,15.8,1
1986,33,Fraser River,18,5142,962,17.5,1
1987,34,Fraser River,19,3911,832,17.3,0
1988,35,Fraser River,20,3316,972,13.3,1
1989,36,Fraser River,19,2146,974,17.5,1
1990,37,Fraser River,20,5731,932,17.3,1
1991,38,Fraser River,21,4199,943,16.3,1
1992,39,Fraser River,22,3496,932,18.2,1
1993,40,Fraser River,23,1902,954,18.1,0
1994,41,Fraser River,24,5121,987,14.7,0
1995,42,Fraser River,25,3573,943,16.3,0
1996,43,Fraser River,19,2840,954,18.2,0
1997,44,Fraser River,19,2095,943,18.1,1
1998,45,Fraser River,27,5731,923,14.7,1
1999,46,Fraser River,21,4199,943,16.6,1
2000,47,Fraser River,24,3496,932,18.2,1
2001,48,Fraser River,23,1902,1043,18.3,1
2002,49,Fraser River,25,5121,943,13.8,0
2003,50,Fraser River,27,3573,967,16.6,0
2004,51,Fraser River,21,2840,943,18.2,0
2005,52,Fraser River,24,2095,945,18.3,1
2006,53,Fraser River,23,5121,1023,13.8,0